Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.075662003	1.919923338	274.254	2961.940	1.8443	2687.686	-60.80	BUFJAP
2	Spectrogram 1	1	3.783100173	6.771749310	411.381	2687.687	2.9886	2276.306	-57.40	BUFJAP
3	Spectrogram 1	1	8.483602139	8.634926146	383.955	2139.179	0.1513	1755.224	-61.28	BUFJAP
4	Spectrogram 1	1	10.554849484	12.124836056	466.231	2194.030	1.5700	1727.799	-59.21	BUFJAP
5	Spectrogram 1	1	13.298668661	15.029436991	329.104	2276.306	1.7308	1947.202	-54.51	BUFJAP
6	Spectrogram 1	1	15.890092280	17.838388870	493.657	2358.582	1.9483	1864.925	-60.48	BUFJAP
7	Spectrogram 1	1	20.874326759	23.257679868	493.657	2605.410	2.3834	2111.753	-56.03	BUFJAP
8	Spectrogram 1	1	27.107496782	30.275843177	329.104	2468.284	3.1683	2139.180	-49.92	BUFJAP
9	Spectrogram 1	1	31.051378713	31.174329468	466.231	2029.478	0.1230	1563.247	-46.99	BUFJAP
10	Spectrogram 1	1	32.366006023	34.106232103	438.806	2495.709	1.7402	2056.903	-54.68	BUFJAP
11	Spectrogram 1	1	35.052007146	37.558311011	356.530	2824.813	2.5063	2468.283	-54.95	BUFJAP
12	Spectrogram 1	1	41.294122432	41.407615437	411.381	1947.201	0.1135	1535.820	-48.58	BUFJAP
13	Spectrogram 1	1	42.079115718	42.183150973	466.231	1563.246	0.1040	1097.015	-49.08	BUFJAP
14	Spectrogram 1	1	42.684411746	49.720978068	438.806	5457.649	7.0366	5018.843	-54.07	BUFJAP
15	Spectrogram 1	1	52.823120210	53.816184006	411.381	2413.433	0.9931	2002.052	-53.39	BUFJAP
16	Spectrogram 1	1	56.492727379	57.722234935	493.657	1974.627	1.2295	1480.970	-54.40	BUFJAP
