Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	6.459643546	7.320298836	357.724	2731.707	0.8607	2373.983	-46.65	BUFJAP
2	Spectrogram 1	1	8.871369907	9.675278693	455.285	2243.902	0.8039	1788.617	-47.97	BUFJAP
3	Spectrogram 1	1	10.526476232	10.866955248	455.285	1658.537	0.3405	1203.252	-55.34	BUFJAP
4	Spectrogram 1	1	17.250936791	18.168338583	455.285	2276.423	0.9174	1821.138	-48.06	BUFJAP
5	Spectrogram 1	1	22.159509266	22.573979274	520.325	2139.179	0.4145	1618.854	-46.48	BUFJAP
6	Spectrogram 1	1	25.384602163	27.228863498	422.764	2081.301	1.8443	1658.537	-49.55	BUFJAP
7	Spectrogram 1	1	33.185684169	33.541329514	439.235	3291.045	0.3556	2851.810	-49.65	BUFJAP
8	Spectrogram 1	1	36.255703888	36.359739143	357.724	1658.537	0.1040	1300.813	-44.97	BUFJAP
9	Spectrogram 1	1	43.528713972	43.888108488	357.724	2146.341	0.3594	1788.617	-45.76	BUFJAP
10	Spectrogram 1	1	29.546012354	29.978714043	921.811	6584.362	0.4327	5662.551	-36.65	ZHASCH
11	Spectrogram 1	1	31.243096159	31.876765438	987.654	6979.424	0.6337	5991.770	-35.56	ZHASCH
12	Spectrogram 1	1	59.219121941	59.897980971	987.654	6979.424	0.6789	5991.770	-36.59	ZHASCH
